,end_date,Name,Market value,Share,symbol,revenues_x,op_income_x,net_income_x,eps_basic_x,eps_diluted_x,dividend_x,assets_x,cur_assets_x,cur_liab_x,cash_x,equity_x,cash_flow_op_x,cash_flow_inv_x,cash_flow_fin_x
246,201806,CSX CORP,841401,13192235,CSX,3102000000.0,1283000000.0,877000000.0,1.02,1.01,0.22,36924000000.0,2881000000.0,1732000000.0,1320000000.0,14023000000.0,2009000000.0,-755000000.0,-335000000.0
239,201809,CSX CORP,698327,9430475,CSX,0.0,1293000000.0,894000000.0,1.05,1.05,0.22,36861000000.0,2784000000.0,1944000000.0,663000000.0,13735000000.0,3406000000.0,-1587000000.0,-1557000000.0
243,201812,CSX CORP,599273,9645475,CSX,,,,,,,,,,,,,,
241,201903,CSX CORP,598462,7998686,CSX,,,,,,,,,,,,,,
508,201306,DOLLAR TREE INC,409424,8053196,DLTR,1865800000.0,216600000.0,133500000.0,0.6,0.59,0.0,2811800000.0,1489800000.0,663000000.0,383300000.0,1739700000.0,129300000.0,-88200000.0,-57400000.0
515,201309,DOLLAR TREE INC,437171,7648196,DLTR,1854900000.0,201300000.0,124700000.0,0.56,0.56,0.0,2908300000.0,1533200000.0,671800000.0,413700000.0,1825900000.0,300300000.0,-184900000.0,-100500000.0
507,201312,DOLLAR TREE INC,458593,8128196,DLTR,1884700000.0,204300000.0,125400000.0,0.58,0.58,0.0,2882800000.0,1487800000.0,766800000.0,147100000.0,959000000.0,366700000.0,-269400000.0,-349000000.0
514,201509,DOLLAR TREE INC,342592,5139395,DLTR,3011200000.0,123400000.0,-98000000.0,-0.46,-0.46,0.0,16565100000.0,4524700000.0,2073300000.0,1302500000.0,4047000000.0,-45700000.0,-6704900000.0,7189800000.0
506,201512,DOLLAR TREE INC,1018850,13194122,DLTR,4945200000.0,223700000.0,81900000.0,0.35,0.35,0.0,16699000000.0,4628000000.0,2161200000.0,1106900000.0,4142200000.0,-50500000.0,-6876600000.0,7170400000.0
505,201603,DOLLAR TREE INC,957071,11606484,DLTR,15498400000.0,1049700000.0,282400000.0,1.27,1.26,0.0,15901200000.0,3935900000.0,2095400000.0,736100000.0,4406900000.0,780900000.0,-6978400000.0,6070400000.0
